2018-01 	102,4 	97,5 	110,3 	102,4 	106,0
2018-02 	102,3 	97,3 	110,3 	102,5 	106,0
2018-03 	102,7 	99,4 	109,5 	103,0 	119,9
2018-04 	102,7 	99,4 	110,5 	103,1 	120,0
2018-05 	103,6 	99,7 	112,7 	103,2 	119,2
2018-06 	103,5 	99,7 	113,7 	103,2 	119,2
2018-07 	103,6 	96,9 	114,2 	104,4 	119,7
2018-08 	103,9 	98,0 	114,3 	104,7 	119,8
2018-09 	104,5 	99,3 	115,3 	103,1 	119,8
2018-10 	104,3 	99,3 	117,4 	103,1 	119,8
2018-11 	104,1 	99,4 	116,6 	102,8 	119,8
2018-12 	104,7 	99,2 	113,8 	103,2 	119,8
2019-01 	105,2 	97,1 	112,4 	103,4 	120,8
2019-02 	105,4 	96,8 	113,9 	103,4 	120,8
2019-03 	105,2 	98,8 	115,1 	103,6 	129,6
2019-04 	105,3 	98,9 	115,9 	104,1 	129,7
2019-05 	106,0 	99,0 	116,6 	103,9 	130,0
2019-06 	106,1 	99,0 	116,4 	104,4 	130,0
2019-07 	106,7 	96,3 	115,1 	105,5 	130,2
2019-08 	107,2 	97,1 	115,1 	105,8 	130,2
2019-09 	106,6 	98,6 	115,5 	104,4 	130,3
2019-10 	106,2 	98,8 	115,5 	104,3 	130,3
2019-11 	106,3 	98,7 	115,8 	104,1 	138,1
2019-12 	106,9 	99,0 	116,8 	104,6 	138,1
2020-01 	107,3 	96,8 	117,4 	104,7 	138,2
2020-02 	107,3 	97,0 	115,1 	104,9 	138,3
2020-03 	107,2 	98,4 	110,6 	104,7 	147,4
2020-04 	109,2 	98,4 	105,9 	104,7 	147,4
2020-05 	109,7 	98,3 	103,7 	105,1 	148,0
2020-06 	108,9 	98,0 	105,6 	105,5 	148,1
2020-07 	107,9 	98,0 	106,6 	106,4 	148,2
2020-08 	108,1 	96,9 	107,0 	106,7 	148,2
2020-09 	107,6 	98,4 	106,3 	105,1 	148,2
2020-10 	107,7 	98,7 	106,5 	104,7 	148,2
2020-11 	108,4 	98,4 	106,8 	104,8 	155,4
2020-12 	108,0 	98,0 	108,6 	105,4 	155,3
2021-01 	108,4 	97,6 	110,5 	105,5 	155,8
2021-02 	108,2 	96,7 	113,2 	105,7 	155,9
2021-03 	108,2 	98,2 	115,7 	105,8 	155,9
2021-04 	108,8 	98,1 	115,2 	105,9 	156,0
2021-05 	109,4 	98,3 	115,9 	106,2 	156,0
2021-06 	108,7 	98,7 	117,2 	106,4 	156,0
2021-07 	108,8 	96,9 	119,8 	107,1 	155,7
2021-08 	109,5 	98,0 	120,5 	107,5 	155,7
2021-09 	108,7 	98,8 	122,1 	106,6 	155,3
2021-10 	108,5 	99,0 	128,0 	106,6 	155,3
2021-11 	108,9 	99,2 	129,9 	106,8 	155,3
2021-12 	109,5 	99,2 	128,7 	107,3 	155,3
2022-01 	110,1 	98,2 	132,4 	107,6 	155,7
2022-02 	110,5 	98,9 	137,2 	108,1 	155,8
2022-03 	111,4 	100,3 	149,6 	108,3 	155,8
2022-04 	113,0 	100,7 	145,8 	109,0 	155,8
2022-05 	114,1 	101,2 	148,1 	109,6 	155,7
2022-06 	115,0 	101,2 	155,9 	109,9 	155,7
2022-07 	116,1 	99,6 	153,9 	111,3 	155,8
2022-08 	118,1 	101,4 	147,9 	111,6 	155,8
2022-09 	119,4 	102,4 	144,0 	109,9 	155,8
2022-10 	121,5 	103,1 	152,4 	109,9 	155,8
2022-11 	122,1 	103,6 	153,8 	110,0 	155,8
2022-12 	122,7 	103,8 	148,2 	110,3 	155,9
